26,30,32
27,31,33
17,18,20,21,23
18,20,22,23,24
8,9,11,12,24
8,9,11,12,24
11,18,22,24
3,4,5,22
8,9,11,12
17,21,23
18,22,23,24
8,9,11,12
8,9,11,12
11,18,22,24
3,4,5,22
8,9,11,12
11,17,21,23
18,21,22,24
3,4,5,22
8,9,11,12
21,25,27
22,26,27,28
12,13,15,16
12,13,15,16
15,22,26,28
7,8,9,26
12,13,15,16
15,21,25,27
22,25,26,28
7,8,9
9,21,25,27
22,25,26,28
7,8,9,26
12,13,15,16
15,30,34,36
31,34,35,37
21,22,24,25
21,22,24,25
16,17,18
21,22,24,25
16,17,18
18,31,35,37
16,17,18
18,30,34,36
31,34,35,37
16,17,18,35
21,22,24,25,27
22,24,26,27,28
12,13,15,16,28
12,13,15,16,28
15,22,26,28
7,8,9,26
12,13,15,16
15,21,25,27
22,25,26,28
7,8,9,26
12,13,15,16
15,21,25,27
22,25,26,28
7,8,9,26
12,13,15,16
12,13,15,16
15,22,26,28
7,8,9,26
12,13,15,16
12,13,15,16
15,22,26,28
7,8,9,26
12,13,15,16
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
3,4,5,6
10,12,14,15
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
16,17,18,19
3,4,5,6
10,12,14,15
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
4,5,6,7
11,13,15,16
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
16,17,18,19
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
3,4,5,6
10,12,14,15
